"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","Check empty fields values of 'Instalment' option in online replenishment block","0"
"0","","0","","1","0","Check cost value in BepaidApp modal","0"
"0","","0","","1","0","Check empty fields values of 'Arrears' option in online replenishment block","0"
"0","","0","","1","0","Check empty input fields values option in BepaidApp modal","0"
"0","","0","","1","0","Check functionality of “Continue” button with correctly filled fields","0"
"0","","0","","1","0","Check empty fields values of 'Internet' option in online replenishment block","0"
"0","","0","","1","0","Check empty fields values of 'Connection' option in online replenishment block","0"
"0","","0","","1","0","Check value of 'Pay' button in BepaidApp modal","0"
"0","","0","","1","0","Check for payment system logos in BepaidApp card input","0"
"0","","0","","1","0","Check value of text description in BepaidApp modal","0"
